iter	Passed	Remaining
400	15404	42217
401	15436	42162
402	15470	42112
403	15504	42062
404	15537	42009
405	15570	41954
406	15602	41899
407	15638	41856
408	15670	41800
409	15699	41738
410	15732	41685
411	15768	41641
412	15798	41582
413	15830	41527
414	15865	41478
415	15895	41420
416	15927	41366
417	15961	41315
418	15996	41270
419	16027	41214
420	16062	41167
421	16093	41111
422	16123	41051
423	16157	41004
424	16195	40965
425	16226	40910
426	16260	40859
427	16292	40806
428	16322	40748
429	16352	40691
430	16386	40643
431	16419	40591
432	16452	40542
433	16485	40493
434	16517	40440
435	16549	40385
436	16584	40341
437	16617	40291
438	16654	40250
439	16691	40210
440	16784	40304
441	16859	40354
442	16893	40307
443	16924	40252
444	16959	40207
445	16996	40165
446	17028	40113
447	17059	40058
448	17093	40012
449	17131	39973
450	17164	39924
451	17195	39868
452	17229	39822
453	17266	39782
454	17305	39746
455	17336	39692
456	17372	39649
457	17409	39607
458	17442	39559
459	17475	39510
460	17514	39474
461	17549	39429
462	17590	39397
463	17628	39360
464	17659	39305
465	17690	39253
466	17718	39193
467	17747	39135
468	17780	39086
469	17812	39035
470	17843	38983
471	17874	38930
472	17897	38860
473	17925	38801
474	17962	38762
475	17996	38715
476	18028	38664
477	18060	38615
478	18092	38564
479	18126	38517
480	18157	38466
481	18188	38415
482	18221	38367
483	18257	38325
484	18291	38279
485	18322	38228
486	18357	38184
487	18394	38145
488	18428	38101
489	18464	38059
490	18500	38018
491	18538	37980
492	18574	37940
493	18607	37893
494	18635	37835
495	18668	37789
496	18704	37748
497	18739	37705
498	18770	37652
499	18810	37620
500	18852	37591
501	18887	37550
502	18920	37503
503	18952	37453
504	18985	37406
505	19013	37351
506	19043	37298
507	19077	37253
508	19115	37216
509	19153	37179
510	19187	37136
511	19218	37084
512	19247	37032
513	19282	36989
514	19308	36929
515	19341	36883
516	19373	36836
517	19405	36787
518	19434	36734
519	19464	36683
520	19496	36635
521	19525	36581
522	19551	36522
523	19585	36479
524	19618	36434
525	19649	36385
526	19676	36329
527	19709	36283
528	19743	36239
529	19771	36185
530	19801	36134
531	19832	36086
532	19864	36039
533	19899	35997
534	19930	35949
535	19958	35896
536	19998	35862
537	20027	35810
538	20058	35763
539	20087	35711
540	20115	35656
541	20149	35614
542	20181	35569
543	20211	35518
544	20240	35467
545	20271	35418
546	20300	35368
547	20325	35309
548	20351	35254
549	20378	35199
550	20420	35170
551	20453	35127
552	20500	35105
553	20529	35056
554	20568	35021
555	20601	34978
556	20642	34946
557	20678	34909
558	20718	34877
559	20756	34841
560	20793	34803
561	20842	34786
562	20885	34759
563	20919	34718
564	20956	34680
565	20993	34642
566	21025	34597
567	21059	34555
568	21087	34503
569	21117	34454
570	21145	34403
571	21178	34360
572	21209	34312
573	21250	34282
574	21285	34242
575	21319	34200
576	21356	34163
577	21396	34130
578	21427	34084
579	21464	34046
580	21500	34008
581	21536	33969
582	21569	33926
583	21602	33883
584	21638	33844
585	21676	33809
586	21706	33760
587	21745	33727
588	21782	33690
589	21816	33649
590	21850	33607
591	21882	33563
592	21915	33519
593	21949	33478
594	21978	33428
595	22015	33392
596	22050	33352
597	22088	33317
598	22127	33283
599	22162	33243
600	22194	33198
601	22228	33157
602	22265	33120
603	22300	33081
604	22331	33036
