iter	Logloss
154	0.6040861409
155	0.6039818137
156	0.603750208
157	0.6036649132
158	0.6035757904
159	0.603483214
160	0.603406324
161	0.6033328027
162	0.6031525831
163	0.6029055504
164	0.602795994
165	0.6027035545
166	0.6026163978
167	0.6025319344
168	0.6024369823
169	0.602371287
170	0.6022926723
171	0.6021078158
172	0.601983765
173	0.6018732406
174	0.6017970262
175	0.6015629847
176	0.6014562851
177	0.6013738862
178	0.6012969735
179	0.6012000978
180	0.6009936626
181	0.6008567876
182	0.6005894854
183	0.6004694817
184	0.6003298537
185	0.6001979789
186	0.5999816567
187	0.5998723341
188	0.5998043848
189	0.5997291746
190	0.599560063
191	0.5994869247
192	0.5993746318
193	0.5992853484
194	0.5992197065
195	0.5990681308
196	0.59897799
197	0.5988897328
198	0.5988252775
199	0.5986299512
200	0.5984255011
201	0.5982871268
202	0.5981723413
203	0.5981139665
204	0.5979772964
205	0.5979026736
206	0.5976922077
207	0.5974944588
208	0.5974370372
209	0.5973656919
210	0.5972838611
211	0.5970267109
212	0.5969654112
213	0.5967969206
214	0.5967256327
215	0.596482583
216	0.5963764085
217	0.5962545197
218	0.5961392492
219	0.5960868086
220	0.5958538227
221	0.5957742286
222	0.5956841371
223	0.5954618113
224	0.5952396975
225	0.595113814
226	0.5949525943
227	0.5948686751
228	0.5947627848
229	0.5946849181
230	0.5945907917
231	0.594494
232	0.5944039554
233	0.594329465
234	0.5942486855
235	0.5941268605
236	0.5939295682
237	0.5938604759
238	0.5937635264
239	0.5936484751
240	0.5935810449
241	0.5935110641
242	0.5934477396
243	0.5933796268
244	0.593187989
245	0.5931150896
246	0.5930196236
247	0.5929556207
248	0.5927097438
249	0.5926207386
250	0.5925570242
251	0.5924929036
252	0.592420573
253	0.5923584587
254	0.592285107
255	0.5920607915
256	0.5919987024
257	0.5919401512
258	0.5918026442
259	0.5917361762
260	0.5915561142
261	0.5914386854
262	0.5913729509
263	0.5913159721
264	0.5912384015
265	0.5911404313
266	0.5910431404
267	0.5909821946
268	0.5908444546
269	0.5907688266
270	0.5906266051
271	0.5905551731
272	0.5905162952
273	0.5904019767
274	0.5903436863
275	0.5902219702
276	0.5901058845
277	0.5899509448
278	0.5898626349
279	0.5898118278
280	0.5896943184
281	0.5896386423
282	0.5894708508
283	0.5893928514
284	0.5893461566
285	0.5892949957
286	0.5891307734
287	0.5889599579
288	0.5888667015
289	0.5887898349
290	0.5887026842
291	0.5886400029
292	0.5884967304
293	0.5883913177
294	0.5883345905
295	0.588252522
296	0.5881575731
297	0.5880828816
298	0.5880269848
299	0.5879283139
300	0.5878670679
301	0.5877839907
302	0.5877061597
303	0.5876142571
304	0.5874369588
305	0.5873461333
306	0.5872378598
307	0.5871791634
308	0.5870989669
309	0.5870027816
310	0.5869272795
311	0.5868666324
312	0.5867990777
313	0.5867181417
314	0.586550938
315	0.5864410997
316	0.5863825982
317	0.5863325987
318	0.586272751
319	0.5861875683
320	0.5861172913
321	0.5860316464
322	0.5859795459
323	0.5859242714
324	0.585749987
325	0.5856846988
326	0.5856271769
327	0.585558954
328	0.5854975556
329	0.5854393308
330	0.5852925735
331	0.5852450641
332	0.5851819723
333	0.5851017183
334	0.5850069196
335	0.5849343389
336	0.5848649477
337	0.5847638242
338	0.5846845845
339	0.5846137583
340	0.5845322393
341	0.5843514076
342	0.5841995914
343	0.5841269243
344	0.5840556095
345	0.5839932463
346	0.583944448
347	0.5838556632
348	0.5837524451
349	0.583700747
350	0.5835691814
351	0.5834714301
352	0.5834049848
353	0.5833146212
354	0.5832505449
355	0.5831786827
356	0.5830933954
357	0.5829804077
358	0.5828643736
359	0.5827878587
360	0.5827298903
361	0.5826422418
362	0.5825702845
363	0.5824837038
364	0.5823701939
365	0.5822782662
366	0.5820923531
367	0.5820263312
368	0.5819558109
369	0.5819080193
370	0.5818471098
371	0.581787714
372	0.5817124811
373	0.5815902062
374	0.581529214
375	0.5814011069
376	0.5813292838
377	0.5812601082
378	0.5812107172
379	0.5811150465
380	0.5810199465
381	0.5808881128
382	0.5807189674
383	0.5806653435
384	0.5805673617
385	0.580504292
386	0.5804393566
387	0.5803808799
388	0.5802685202
389	0.5801787087
390	0.580120405
391	0.5800643644
392	0.5799924089
393	0.5798276463
394	0.5797894738
395	0.5796327785
396	0.579563407
397	0.5795147213
398	0.5794390898
399	0.5793818502
400	0.5793245618
401	0.5792616231
402	0.5791511321
403	0.5790434155
404	0.5789856177
405	0.5788997358
406	0.5787424532
407	0.5786844153
408	0.5786046291
409	0.5784047758
410	0.5783238375
411	0.5782179257
412	0.5780384975
413	0.5779637979
414	0.5779087382
415	0.5778460964
416	0.5777166366
417	0.577542242
418	0.5774671793
419	0.5774029409
420	0.5773418176
421	0.5771665132
422	0.5770933881
423	0.5770166845
424	0.5768508412
425	0.5767846344
426	0.5767313738
427	0.5766771444
428	0.5765847745
429	0.5764953104
430	0.5763654754
431	0.5763075512
432	0.5762453109
433	0.5761502044
434	0.5760971861
435	0.5760515103
436	0.575911435
437	0.575838957
438	0.5757907205
439	0.575734495
440	0.575635332
441	0.5755910585
442	0.5755359927
443	0.5754897079
444	0.5753456284
445	0.5752722507
446	0.5752279875
447	0.5750713859
448	0.5750003551
449	0.5749179673
450	0.5747787772
451	0.5747354376
452	0.5745953773
453	0.5744351052
454	0.5743602791
455	0.5742940006
456	0.5741334966
457	0.5740527481
458	0.5739943781
459	0.5738226352
460	0.5737351661
461	0.573592345
462	0.5734415058
463	0.5733813707
464	0.5732373385
465	0.573108998
466	0.5729864863
467	0.5729125594
468	0.572838126
469	0.5727830794
470	0.5726311926
471	0.5725632278
472	0.5724382632
473	0.5723014338
474	0.5722250588
475	0.5721561492
476	0.5720819659
477	0.5719831236
478	0.5718893187
479	0.5717776378
480	0.5717197428
481	0.5716153254
482	0.5714925247
483	0.5714086429
484	0.5713242319
485	0.5712091964
486	0.5711372438
487	0.5709977123
488	0.570940578
489	0.5707905887
490	0.5706654324
491	0.5705817473
492	0.5704914774
493	0.5703829653
494	0.5702823635
495	0.5701484353
496	0.5700590672
497	0.5698963963
498	0.5697727078
499	0.5697123599
500	0.5696288239
501	0.5695265255
502	0.5694146063
503	0.5692671585
504	0.5691731788
505	0.5690339348
506	0.5688976067
507	0.5688147336
508	0.5687168555
509	0.5686293425
510	0.5684766733
511	0.5683574933
512	0.5682475902
513	0.5681605619
514	0.5680190726
515	0.5679661831
516	0.5678324646
517	0.5677451079
518	0.5676117953
519	0.5674948724
520	0.5673926793
521	0.5673197129
522	0.5671768434
523	0.5670911996
524	0.5669980053
525	0.5668490984
526	0.5667435565
527	0.5666382429
528	0.5664871732
529	0.5664153749
530	0.5663056937
531	0.566172402
532	0.5660833285
533	0.5659375542
534	0.5658541217
535	0.5657812102
536	0.5656609938
537	0.5655606692
538	0.5654681476
539	0.5653486638
540	0.5652460096
541	0.5651330303
542	0.5649846545
543	0.5648803488
544	0.5647751607
545	0.5646520487
546	0.5645737293
547	0.5645079501
548	0.5643861479
549	0.5642790597
550	0.5641749584
551	0.5640892509
552	0.563941808
553	0.5638548023
554	0.56376167
555	0.5636588815
556	0.5635525874
557	0.5634918851
558	0.5634005569
559	0.5633166611
560	0.5632444145
561	0.5631618098
562	0.5630833144
563	0.5630037621
564	0.5629081531
565	0.5628230159
566	0.5627295987
567	0.5626107022
568	0.5624988772
569	0.5624253354
570	0.562335572
571	0.5622556124
572	0.5621672065
573	0.562106547
574	0.5620092865
575	0.5619333821
576	0.5618237695
577	0.5617130101
578	0.5616466245
579	0.5615424618
580	0.5614174274
581	0.561332968
582	0.5611884404
583	0.5610555393
584	0.560988969
585	0.5609057183
586	0.5608221526
587	0.5607469579
588	0.5606406253
589	0.5605328413
590	0.5604399593
591	0.560358333
592	0.5602771109
593	0.5601484563
594	0.5600691809
595	0.5599504982
596	0.5598691161
597	0.5597521028
598	0.5596607957
599	0.5595670395
600	0.5594741222
601	0.5593992635
602	0.5593189027
603	0.5592275533
604	0.5591443164
605	0.5590810449
606	0.5590138467
607	0.5589259133
608	0.5588239252
609	0.5587225833
610	0.5585952706
611	0.5585171274
612	0.5583837995
613	0.5582768212
614	0.5581788271
615	0.5580698033
616	0.5579912088
617	0.5579251758
618	0.5578613985
619	0.5577752086
620	0.5576523088
621	0.5575706879
622	0.5574929411
623	0.5574327152
624	0.5573104149
625	0.5571919484
626	0.5571306345
627	0.556996612
628	0.556899167
629	0.5568172189
630	0.5567406407
631	0.5566884604
632	0.5566041334
633	0.5565368168
634	0.556461767
635	0.5563342673
636	0.5562452107
637	0.5561375997
638	0.5560575273
639	0.5559635144
640	0.5558560539
641	0.555778836
642	0.5556687878
643	0.5555427418
644	0.5554841352
645	0.5554104108
646	0.5553267851
647	0.5551775967
648	0.5551168131
649	0.5550292094
650	0.5549167522
651	0.554836336
652	0.5547521559
653	0.5546731125
654	0.5546067066
655	0.5545397809
656	0.554450789
657	0.554346591
658	0.554269239
659	0.5542007845
660	0.5541081705
661	0.5540520223
662	0.5539716825
663	0.5538907398
664	0.5537854648
665	0.5537147278
666	0.5536315118
667	0.5535590313
668	0.5534868194
669	0.553411556
670	0.5533484199
671	0.5532988773
672	0.5532196534
673	0.553168091
674	0.5530917169
675	0.5529694506
676	0.5528819344
677	0.5528145375
678	0.5526883759
679	0.552605516
680	0.5525043932
681	0.5524303618
682	0.5523438478
683	0.5522696526
684	0.5521693159
685	0.5520879722
686	0.5520065893
687	0.5519162504
688	0.5518485499
689	0.5517930235
690	0.5517272718
691	0.5516740586
692	0.5516138805
693	0.5515167053
694	0.5514458411
695	0.5513736906
696	0.5512961451
697	0.551219475
698	0.5511267897
699	0.5510747686
700	0.5509972165
701	0.5509095188
702	0.5507997045
703	0.5507397554
704	0.5506620485
705	0.5505982684
706	0.5505310888
707	0.5504625527
708	0.5503843627
709	0.5503171987
710	0.5502415828
711	0.5501452156
712	0.5500571878
713	0.5499844515
714	0.5499187184
715	0.5498370095
716	0.5497732068
717	0.5497031534
718	0.5496461496
719	0.5495790743
720	0.5494943086
721	0.5494130843
722	0.5493050704
723	0.5492250491
724	0.5491658688
725	0.5491052579
726	0.5490578651
727	0.5489998076
728	0.5489353205
729	0.5488584631
730	0.5488015515
731	0.5487144086
732	0.548635413
733	0.5485875013
734	0.5485332914
735	0.548479446
736	0.5484237665
737	0.5483371064
738	0.5482634014
739	0.5481812591
740	0.5481149613
741	0.5480480073
742	0.5479730885
743	0.5479029818
744	0.5477982747
745	0.5477032947
746	0.5476559658
747	0.5476012574
748	0.547513032
749	0.5474332701
750	0.5473544406
751	0.5472811798
752	0.547196651
753	0.5471199028
754	0.5470629277
755	0.5469969643
756	0.5469410647
757	0.5468701927
758	0.5467446666
759	0.5466790672
760	0.5466313348
761	0.5465564788
762	0.5465066452
763	0.5464224399
764	0.5463537291
765	0.5462838958
766	0.5462091544
767	0.5461035131
768	0.5460364827
769	0.5459224134
770	0.5458600367
771	0.5457584971
772	0.5457050929
773	0.5456621954
774	0.5456023529
775	0.5455598984
776	0.5454970682
777	0.5454353235
778	0.5453534763
779	0.5452801241
780	0.5452254702
781	0.5451569592
782	0.5450937033
783	0.545016649
784	0.5449450949
785	0.544897131
786	0.5448538342
787	0.5447965685
788	0.5446871903
789	0.5446116555
790	0.5445479242
791	0.5444689144
792	0.5444043908
793	0.5443620445
794	0.5442937058
795	0.5442431637
796	0.5441910407
797	0.5441277485
798	0.5440723355
799	0.5440161441
800	0.5439669327
801	0.5439108111
802	0.543798386
803	0.5437379344
804	0.5436735953
805	0.5435647019
806	0.5434732427
807	0.5433994273
808	0.5433429968
809	0.5432681178
810	0.5432209458
811	0.5431321042
812	0.5430613106
813	0.5429831211
814	0.5429343748
815	0.5428780902
816	0.5427772085
817	0.5427228454
818	0.5426643439
819	0.5426084451
820	0.5425196811
821	0.542460278
822	0.5423914277
823	0.5423176926
824	0.542254212
825	0.5422084897
826	0.542137843
827	0.542072838
828	0.5420274982
829	0.5419634184
830	0.5419108418
831	0.5418459658
832	0.5417670681
833	0.5417143069
834	0.5416338685
835	0.5415754681
836	0.5415126286
837	0.5414556262
838	0.5413849869
839	0.5412861746
840	0.5412183745
841	0.5411459953
842	0.5410824734
843	0.5409965051
844	0.5409184659
845	0.5408533655
846	0.5407586997
847	0.5406902569
848	0.5406428515
849	0.5405878803
850	0.5405297323
851	0.5404165768
852	0.5403205453
853	0.540236474
854	0.5401743258
855	0.5401065951
856	0.5400373551
857	0.5399855675
858	0.5398719475
859	0.5398166437
860	0.5397630046
861	0.5396895409
862	0.5396395806
863	0.5395863659
864	0.5395398585
865	0.5394938765
866	0.5394037683
867	0.5393561403
868	0.5392900193
869	0.5392165066
870	0.5391367989
871	0.5390616514
872	0.5389835156
873	0.5389138251
874	0.5388395614
875	0.5387572128
876	0.5386922413
877	0.5386364679
878	0.5385849434
879	0.5385241177
880	0.5384573559
881	0.5383806315
882	0.5382854418
883	0.5382319645
884	0.5381736606
885	0.5381126075
886	0.5380468597
887	0.5379583718
888	0.5379010744
889	0.5378557511
890	0.5378108129
891	0.5377587815
892	0.537678137
893	0.5376040717
894	0.537541472
895	0.5374781209
896	0.5373997472
897	0.5373443543
898	0.5372872763
899	0.5372239535
900	0.5371580396
901	0.5370723676
902	0.5370183241
903	0.5369629773
904	0.5368664207
905	0.536800981
906	0.5367458723
907	0.5366763119
908	0.5366072571
909	0.5365415655
910	0.5364689524
911	0.5364022059
912	0.5363100378
913	0.5362595988
914	0.5362137106
915	0.5361630116
916	0.5360949043
917	0.5360368542
918	0.5359779327
919	0.53591524
920	0.5358614457
921	0.5358029591
922	0.5357369327
923	0.5356963149
924	0.5356529884
925	0.5356102324
926	0.5355432023
927	0.5354816475
928	0.5354426811
929	0.5353775353
930	0.5353077864
931	0.5352579635
932	0.5352018644
933	0.5351286274
934	0.5350689496
935	0.5350092084
936	0.534940631
937	0.5348702241
938	0.5348058228
939	0.5347064935
940	0.5346321174
941	0.5345757588
942	0.5345242262
943	0.5344579737
944	0.5344036352
945	0.5343278004
946	0.5342784831
947	0.5342242714
948	0.5341591417
949	0.5341026636
950	0.5340347602
951	0.5339831587
952	0.5339273611
953	0.5338697203
954	0.5337943544
955	0.5337409843
956	0.5336861263
957	0.5336229549
958	0.5335684328
959	0.5334935161
960	0.5334392207
961	0.5333826637
962	0.5333146738
963	0.5332737608
964	0.5332180213
965	0.5331465901
966	0.5330679718
967	0.5330125058
968	0.5329609644
969	0.532906946
970	0.5328595472
971	0.5327956882
972	0.5327345624
973	0.5326726805
974	0.5326229193
975	0.5325452746
976	0.5324949272
977	0.5324329177
978	0.5323835538
979	0.5323241555
980	0.5322782274
981	0.5322280368
982	0.5321475548
983	0.5320957703
984	0.5320318575
985	0.531954812
986	0.531895476
987	0.5318145214
988	0.5317680357
989	0.5317066124
990	0.5316494195
991	0.5315895168
992	0.5314992696
993	0.5314472986
994	0.5313946565
995	0.5313521448
996	0.5312879562
997	0.5312365498
998	0.5311679097
999	0.5311109745
1000	0.5310453458
1001	0.5309958476
1002	0.5309336194
1003	0.5308898593
1004	0.5308413418
1005	0.5307881748
1006	0.5307232237
1007	0.5306754245
1008	0.5306214069
1009	0.5305601907
1010	0.5305098963
1011	0.5304493873
1012	0.5304071592
1013	0.530354028
1014	0.5302814091
1015	0.5302173252
1016	0.5301698549
1017	0.5301024054
1018	0.5300384195
1019	0.529961122
1020	0.5299074282
1021	0.5298503292
1022	0.5297942214
1023	0.5297237648
1024	0.5296648969
1025	0.5295795749
1026	0.5295328531
1027	0.5294774713
1028	0.5294155746
1029	0.529377929
1030	0.5293028493
1031	0.5292501086
1032	0.5291903878
1033	0.5291248045
1034	0.529084422
1035	0.5290231306
1036	0.5289309981
1037	0.5288844336
1038	0.5288040489
1039	0.5287229649
1040	0.5286718467
1041	0.52861771
1042	0.5285671844
1043	0.5285176386
1044	0.5284670973
1045	0.5284123024
1046	0.5283689703
1047	0.5282991587
1048	0.5282506379
1049	0.5281525749
1050	0.5280683011
1051	0.5279893942
1052	0.5279314803
1053	0.5278866793
1054	0.5278383286
1055	0.5277931456
1056	0.527753755
1057	0.5277136998
1058	0.5276492131
1059	0.5275921472
1060	0.5275213796
1061	0.5274760764
1062	0.5274181353
1063	0.5273569206
1064	0.5273048412
1065	0.5272357888
1066	0.5271890026
1067	0.5271376508
1068	0.5270839708
1069	0.527038887
1070	0.5269897473
1071	0.5269453203
1072	0.5268830688
1073	0.5268371493
1074	0.5267767309
1075	0.5267139362
1076	0.5266625713
1077	0.5265996998
1078	0.5265294867
1079	0.5264818741
1080	0.5264520556
1081	0.526395395
1082	0.5263461875
1083	0.5263055731
1084	0.526248233
1085	0.5261924904
1086	0.5261115568
1087	0.5260605418
1088	0.526008161
1089	0.5259376008
1090	0.5258923262
1091	0.5258308687
1092	0.5257875144
1093	0.5257338175
1094	0.5256796447
1095	0.5256240261
1096	0.5255615732
1097	0.525502097
1098	0.5254371811
1099	0.5253764527
1100	0.5252983043
1101	0.5252622388
1102	0.5252183374
1103	0.525162215
1104	0.5250903204
1105	0.5250457863
1106	0.5249965975
1107	0.5249392354
1108	0.5248902572
1109	0.5248435827
1110	0.5248002335
1111	0.5247416036
1112	0.5246939637
1113	0.5246346324
1114	0.5245687121
1115	0.5245294158
1116	0.5244699661
1117	0.5244049298
1118	0.524340932
1119	0.5242899039
1120	0.5242065025
1121	0.5241485638
1122	0.5240969906
1123	0.5240482151
1124	0.5240041117
1125	0.5239482782
1126	0.5238977512
1127	0.5238487192
1128	0.5238049328
1129	0.5237500924
1130	0.5236873381
1131	0.5236255002
1132	0.5235709599
1133	0.5235087423
1134	0.5234546561
1135	0.5234069701
1136	0.5233474476
1137	0.5232819387
1138	0.5232314736
1139	0.5231791621
1140	0.5231264933
1141	0.5230628783
1142	0.523011688
1143	0.5229632618
1144	0.5229074452
1145	0.5228265549
1146	0.5227891486
1147	0.5227505118
1148	0.5226988934
1149	0.5226345123
1150	0.5225884736
1151	0.5225368869
1152	0.5224718191
1153	0.5224089482
1154	0.5223523331
1155	0.5222997091
1156	0.5222514952
1157	0.5221985517
1158	0.5221582835
1159	0.522106665
1160	0.5220459539
1161	0.5220024382
1162	0.5219536811
1163	0.521902156
1164	0.5218582689
1165	0.5217951015
1166	0.5217514864
1167	0.5216963909
1168	0.5216040696
1169	0.5215531055
1170	0.5214938502
1171	0.521435831
1172	0.5213781912
1173	0.5213173502
1174	0.5212689079
1175	0.521218516
1176	0.5211356848
1177	0.5210651907
1178	0.5210227971
1179	0.5209754981
1180	0.5209140157
1181	0.5208699394
1182	0.5208055588
1183	0.5207546219
1184	0.5206851045
1185	0.5205992931
1186	0.5205620663
1187	0.5205150471
1188	0.5204691346
1189	0.5204369893
1190	0.520396449
1191	0.5203342826
1192	0.5202804724
1193	0.5202207774
1194	0.5201700983
1195	0.5200912858
1196	0.5200306099
1197	0.5199756971
1198	0.5199346936
1199	0.5198895618
1200	0.5198511015
1201	0.5197928242
1202	0.5197430601
1203	0.519692554
1204	0.5196399055
1205	0.5195619364
1206	0.5194986405
1207	0.5194049622
1208	0.5193423547
1209	0.5192992592
1210	0.5192403522
1211	0.5192061616
1212	0.5191525799
1213	0.5190900102
1214	0.5190407213
1215	0.5189728934
1216	0.5189008477
1217	0.5188453058
1218	0.518780499
1219	0.5186931329
1220	0.5186494782
1221	0.5185937098
1222	0.5185481898
1223	0.5184913189
1224	0.5184154701
1225	0.5183659495
1226	0.518305132
1227	0.5182640644
1228	0.5181900016
1229	0.5181263366
1230	0.5180780874
1231	0.5180132094
1232	0.5179540924
1233	0.5178868767
1234	0.5177915072
1235	0.5177288404
1236	0.5176733607
1237	0.5176065006
1238	0.5175620013
1239	0.5174639451
1240	0.5174114205
1241	0.5173543672
1242	0.5173035436
1243	0.5172542239
1244	0.5172198503
1245	0.5171629577
1246	0.5171194797
1247	0.5170806447
1248	0.5170281462
1249	0.5169871842
1250	0.5169401196
1251	0.5168944176
1252	0.5168370973
1253	0.5167748788
1254	0.5167219697
1255	0.5166663164
1256	0.5166237363
1257	0.5165792824
1258	0.5165366579
1259	0.5164946537
1260	0.5164479075
1261	0.5164034117
1262	0.5163695435
1263	0.5163225598
1264	0.5162738763
1265	0.5162199919
1266	0.5161944768
1267	0.5161482793
1268	0.5160842622
1269	0.5160344553
1270	0.5159839867
1271	0.5159303885
1272	0.5158619224
1273	0.5158214811
1274	0.5157788861
1275	0.5157172987
1276	0.5156650485
1277	0.5156086124
1278	0.5155672199
1279	0.5155233805
1280	0.515484452
1281	0.5154320948
1282	0.515383217
1283	0.5153372966
1284	0.5152898633
1285	0.5152402436
1286	0.5151947858
1287	0.5151550958
1288	0.5151045508
1289	0.515045925
1290	0.5149998177
1291	0.5149448439
1292	0.5148959491
1293	0.5148446283
1294	0.5147777357
1295	0.5147214585
1296	0.5146737908
1297	0.5146003933
1298	0.5145488585
1299	0.514490414
1300	0.5144152916
1301	0.5143717271
1302	0.5143216226
1303	0.5142633697
1304	0.5142248698
1305	0.5141697909
1306	0.51412035
1307	0.5140731651
1308	0.5140305602
1309	0.5139683474
1310	0.5139094408
1311	0.5138694696
1312	0.5138235096
1313	0.5137818273
1314	0.5137230013
1315	0.513686197
1316	0.5136336348
1317	0.5135883281
1318	0.5135347348
1319	0.5134715225
1320	0.5134286598
1321	0.5133806343
1322	0.5133353195
1323	0.5132945501
1324	0.5132514308
1325	0.5132039291
1326	0.5131517874
1327	0.5131064718
1328	0.5130598711
1329	0.5130154565
1330	0.5129677028
1331	0.5129099731
1332	0.5128688972
1333	0.512814756
1334	0.5127641253
1335	0.5127097266
1336	0.5126661236
1337	0.5126157936
1338	0.5125656707
1339	0.512523363
1340	0.5124692762
1341	0.5124275602
1342	0.5123830793
1343	0.5123084557
1344	0.5122541884
1345	0.512204371
1346	0.5121618494
1347	0.5121069573
1348	0.5120567964
1349	0.5119901465
1350	0.5119525109
1351	0.5119015276
1352	0.5118496473
1353	0.5117988341
1354	0.5117514135
1355	0.5117038579
1356	0.5116582301
1357	0.511607215
1358	0.5115476926
1359	0.5115037371
1360	0.5114570597
1361	0.5113774841
1362	0.5113056951
1363	0.5112610272
1364	0.5112157007
1365	0.5111843517
1366	0.5111388706
1367	0.5110906161
1368	0.5110478897
1369	0.5109936484
1370	0.5109544254
1371	0.5108813859
1372	0.5108173311
1373	0.5107572734
1374	0.5107254355
1375	0.5106633039
1376	0.5106223747
1377	0.5105750549
1378	0.5105179186
1379	0.5104770562
1380	0.5104159964
1381	0.5103690482
1382	0.5103137682
1383	0.5102813511
1384	0.5102375093
1385	0.5101963951
1386	0.5101516531
1387	0.510105768
1388	0.5100603367
1389	0.5100025453
1390	0.509950053
1391	0.5098981354
1392	0.5098584422
1393	0.5098201786
1394	0.5097776703
1395	0.5097202902
1396	0.5096718969
1397	0.5096117199
1398	0.5095599307
1399	0.5095111563
1400	0.5094555755
1401	0.5094084234
1402	0.5093674616
1403	0.5093198198
1404	0.5092777745
1405	0.5092359594
1406	0.509188331
1407	0.5091482025
1408	0.5091086411
1409	0.5090524194
1410	0.5090154031
1411	0.5089669472
1412	0.5089032815
1413	0.5088479211
1414	0.5088090433
1415	0.5087563615
1416	0.5087074992
1417	0.5086558696
1418	0.5086069681
1419	0.50855779
1420	0.5085205773
1421	0.5084809196
1422	0.5084427957
1423	0.5083773572
1424	0.508323286
1425	0.5082824473
1426	0.5082435695
1427	0.508182169
1428	0.5081329503
1429	0.5080919942
1430	0.5080464737
1431	0.5079998666
1432	0.5079474449
1433	0.5079097524
1434	0.5078626826
1435	0.5078195096
1436	0.5077772217
1437	0.5077231731
1438	0.5076712751
1439	0.5076225653
1440	0.5075698744
1441	0.5075308077
1442	0.5074812484
1443	0.5074329879
1444	0.5073882206
1445	0.5073284025
1446	0.5072753815
1447	0.5071881305
1448	0.5071467587
1449	0.5071035368
1450	0.5070338465
1451	0.5069928821
1452	0.5069426153
1453	0.5068964407
1454	0.5068246737
1455	0.5067769811
1456	0.5067461692
1457	0.5066966979
1458	0.5066320447
1459	0.50658734
1460	0.5065510037
1461	0.5065003004
1462	0.5064369244
1463	0.50637851
1464	0.5063411947
1465	0.5062869313
1466	0.5062413905
1467	0.5061887052
1468	0.506131371
1469	0.5060926045
1470	0.506055072
1471	0.5060102149
1472	0.505971266
1473	0.5059251587
1474	0.5058724603
1475	0.5058174463
1476	0.5057701666
1477	0.5057179388
1478	0.505666347
1479	0.5056078293
1480	0.5055671888
1481	0.505525286
1482	0.5054745934
1483	0.5054369688
1484	0.5053931217
1485	0.5053363756
1486	0.5052745521
1487	0.5052304244
1488	0.5051745459
1489	0.5051171843
1490	0.5050600385
1491	0.5050130567
1492	0.5049722414
1493	0.5049214731
1494	0.5048809244
1495	0.5048218413
1496	0.5047691607
1497	0.5047185025
1498	0.5046805248
1499	0.5046224465
